county,state,county_seat,parcel_number,owner_name,property_address,city,zip,amount_due,sale_date,sale_number,source_url,date_scraped,notes
Shelby,TN,Memphis,026004  00009,,959 GREENWOOD,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=026004  00009 | Alt parcel: 02600400000090
Shelby,TN,Memphis,048007  00001,,0 ELVIS PRESLEY,Memphis,,,2026-10-27,TS2301,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=048007  00001 | Alt parcel: 04800700000010
Shelby,TN,Memphis,070087  00010,,1750 ONTARIO,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=070087  00010 | Alt parcel: 07008700000100
Shelby,TN,Memphis,050057  00010,,186 E NORWOOD,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=050057  00010 | Alt parcel: 05005700000100
Shelby,TN,Memphis,047061  00044,,2504 LAMAR,Memphis,,,2026-10-27,TS2301,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=047061  00044 | Alt parcel: 04706100000440
Shelby,TN,Memphis,026070  00021,,1258 E MCLEMORE,Memphis,,,2026-10-27,TS2301,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=026070  00021 | Alt parcel: 02607000000210
Shelby,TN,Memphis,079067 A00056,,1761 SECOND GREEN,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=079067 A00056 | Alt parcel: 0790670A000560
Shelby,TN,Memphis,M0115   00063,,0 WILKINSVILLE,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=M0115   00063 | Alt parcel: M0115000000630
Shelby,TN,Memphis,075053  00023,,3230 ALTA,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=075053  00023 | Alt parcel: 07505300000230
Shelby,TN,Memphis,029087  00012,,693 PENDLETON,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=029087  00012 | Alt parcel: 02908700000120
Shelby,TN,Memphis,075065  00022,,3208 REDBUD,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=075065  00022 | Alt parcel: 07506500000220
Shelby,TN,Memphis,079018  00012,,1953 GROVEHAVEN,Memphis,,,2026-10-27,TS2301,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=079018  00012 | Alt parcel: 07901800000120
Shelby,TN,Memphis,026056  00020,,1421 RICHMOND,Memphis,,,2026-10-27,TS2301,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=026056  00020 | Alt parcel: 02605600000200
Shelby,TN,Memphis,072107  00012,,0 LADUE,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=072107  00012 | Alt parcel: 07210700000120
Shelby,TN,Memphis,040027  00002,,1193 CAPITAL,Memphis,,,2026-10-27,TS2301,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=040027  00002 | Alt parcel: 04002700000020
Shelby,TN,Memphis,035025  00012,,1783 BISMARK,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=035025  00012 | Alt parcel: 03502500000120
Shelby,TN,Memphis,050070  00019,,112 E GAGE,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=050070  00019 | Alt parcel: 05007000000190
Shelby,TN,Memphis,061034  00016,,2769 SELECT,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=061034  00016 | Alt parcel: 06103400000160
Shelby,TN,Memphis,041047  00014,,2188 CHELSEA,Memphis,,,2026-10-27,TS2301,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=041047  00014 | Alt parcel: 04104700000140
Shelby,TN,Memphis,074037 H00116,,3542 BOXDALE,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=074037 H00116 | Alt parcel: 0740370H001160
Shelby,TN,Memphis,060222  00306M,,3031 JOYCE,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=060222  00306M | Alt parcel: 0602220000306M
Shelby,TN,Memphis,061042  00001,,2837 DOUGLASS,Memphis,,,2026-10-27,TS2302,https://scgpublic.s3.amazonaws.com/TaxSaleExtract.csv,2026-06-19,GIS: http://gis.register.shelby.tn.us/?parcelid=061042  00001 | Alt parcel: 06104200000010
